timestamp,track_id,class,x1,y1,x2,y2,confidence
2025-05-31 14:23:09.429742,1,person,1394.7922,426.378,1516.9962,659.57336,0.807129
2025-05-31 14:23:09.430504,2,motorcycle,0.0,440.56995,406.81018,736.3677,0.80549836
2025-05-31 14:23:09.431212,3,motorcycle,721.9125,522.8773,1080.8423,809.0732,0.7702993
2025-05-31 14:23:09.431859,4,person,852.9514,390.9805,1017.7172,740.7744,0.7657057
2025-05-31 14:23:09.432443,5,person,103.82131,340.9008,289.34402,697.2457,0.7587982
2025-05-31 14:23:09.432920,6,bus,1636.8534,293.7868,1919.0321,484.74515,0.7351916
2025-05-31 14:23:09.433667,7,truck,934.5157,254.94261,1250.7627,544.4857,0.72342855
2025-05-31 14:23:09.434574,8,motorcycle,1356.1619,532.9529,1554.3483,688.11005,0.62799764
2025-05-31 14:23:09.435333,9,truck,522.6305,353.24683,1160.1719,649.13586,0.60470605
2025-05-31 14:23:09.435894,10,truck,1223.9563,282.3454,1617.5573,548.6682,0.5857731
2025-05-31 14:23:09.436355,11,car,363.5531,380.31793,567.5044,598.11774,0.55968404
2025-05-31 14:23:09.436888,12,motorcycle,1588.3137,495.64038,1773.1532,633.6221,0.5368065
2025-05-31 14:23:09.437405,13,person,1591.4375,446.46396,1682.9316,629.6432,0.5065552
2025-05-31 14:23:10.976063,1,person,1404.4283,429.70157,1523.1224,651.2593,0.7748776
2025-05-31 14:23:10.976724,2,motorcycle,4.7399135,437.0999,428.9488,736.4451,0.8008623
2025-05-31 14:23:10.977397,3,motorcycle,745.78894,522.7585,1097.8641,809.5554,0.8317058
2025-05-31 14:23:10.977955,4,person,870.25494,389.22742,1039.7662,728.51935,0.7690702
2025-05-31 14:23:10.978582,5,person,132.28775,343.38644,323.59726,698.37396,0.7642193
2025-05-31 14:23:10.979117,6,bus,1639.473,296.18286,1919.6613,492.00513,0.76439464
2025-05-31 14:23:10.979662,7,truck,938.87067,255.18022,1259.1877,540.04047,0.5527323
2025-05-31 14:23:10.980311,8,motorcycle,1367.5476,521.8979,1575.8746,688.505,0.7779193
2025-05-31 14:23:10.980865,9,truck,535.2414,354.83936,1173.9727,648.31256,0.60416996
2025-05-31 14:23:10.981498,10,truck,1223.8987,287.1189,1623.6093,562.5007,0.6468906
2025-05-31 14:23:10.982082,11,car,372.11606,382.88608,583.25244,599.9056,0.6696046
2025-05-31 14:23:10.982842,12,motorcycle,1592.1033,498.59076,1772.573,631.92554,0.58887523
2025-05-31 14:23:11.430039,1,person,1415.9677,429.83408,1539.9932,651.5503,0.6721406
2025-05-31 14:23:11.430861,2,motorcycle,34.11185,432.40787,451.95575,737.69745,0.7662605
2025-05-31 14:23:11.431983,3,motorcycle,766.16205,541.4962,1113.0342,805.8143,0.8122635
2025-05-31 14:23:11.432936,4,person,891.0577,391.32266,1052.3381,721.06866,0.70615697
2025-05-31 14:23:11.433920,5,person,159.5398,344.77713,353.59296,697.41656,0.73818517
2025-05-31 14:23:11.434754,6,bus,1646.4667,297.0655,1920.0,491.92822,0.700095
2025-05-31 14:23:11.435540,7,truck,937.6348,254.45988,1276.0009,538.21075,0.59112406
2025-05-31 14:23:11.436486,8,motorcycle,1377.96,516.0442,1579.9476,685.02826,0.64852303
2025-05-31 14:23:11.437328,10,truck,1225.0912,283.93726,1647.2495,571.01935,0.68029624
2025-05-31 14:23:11.437960,11,car,381.71896,384.93768,591.92017,598.9589,0.6582105
2025-05-31 14:23:11.438974,14,motorcycle,0.025787678,496.07657,148.21451,854.9086,0.64942867
2025-05-31 14:23:11.439643,16,person,1775.1189,454.1885,1852.4507,609.31006,0.5005893
2025-05-31 14:23:11.919257,1,person,1426.615,428.98853,1554.0927,649.9718,0.682784
2025-05-31 14:23:11.919929,2,motorcycle,70.38201,447.31766,479.74628,737.0379,0.80946314
